gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,128,128,5120,torch.int8,asm,0,8,7.3189,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_16x128E,22.92,183.56,0.182
gfx942,80,192,128,5120,torch.int8,asm,1,8,7.5835,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_32x128E,33.18,222.53,0.1825
gfx942,80,128,1280,8192,torch.int8,asm,3,4,14.7532,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_64x128E,181.95,804.03,0.1279
gfx942,80,192,1280,1024,torch.int8,asm,1,1,6.7934,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_32x128E,74.09,294.23,0.0
gfx942,80,192,1280,5120,torch.int8,asm,5,4,14.7099,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_96x128E,171.08,545.77,0.1266
gfx942,80,192,1280,8192,torch.int8,asm,5,4,19.1633,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_96x128E,210.12,654.91,0.1288
gfx942,80,256,1280,8192,torch.int8,asm,3,2,22.3885,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_64x128E,239.8,591.3,0.0662
gfx942,80,320,1280,8192,torch.int8,asm,4,2,25.8821,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_80x128E,259.29,538.07,0.0666
gfx942,80,512,1280,8192,torch.int8,asm,3,1,34.2419,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_64x128E,313.58,466.99,0.0
gfx942,80,1024,1280,8192,torch.int8,asm,7,1,60.6271,_ZN5aiter42I8gemm_bf16_perTokenI8_BpreShuffle_128x128E,354.21,354.56,0.0
gfx942,80,2048,1280,8192,torch.int8,asm,7,1,118.4251,_ZN5aiter42I8gemm_bf16_perTokenI8_BpreShuffle_128x128E,362.67,274.48,0.0
gfx942,80,4096,1280,8192,torch.int8,asm,7,1,233.2788,_ZN5aiter42I8gemm_bf16_perTokenI8_BpreShuffle_128x128E,368.23,233.74,0.0
gfx942,80,8192,1280,8192,torch.int8,asm,6,1,453.0835,_ZN5aiter42I8gemm_bf16_perTokenI8_BpreShuffle_112x256E,379.18,217.55,0.0
gfx942,80,16384,1280,8192,torch.int8,asm,7,1,926.2119,_ZN5aiter42I8gemm_bf16_perTokenI8_BpreShuffle_128x128E,370.97,201.52,0.0
gfx942,80,64,1536,5120,torch.int8,asm,3,6,10.6691,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_64x128E,94.35,786.25,0.1567
gfx942,80,80,1536,5120,torch.int8,asm,4,6,11.6667,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_80x128E,107.85,730.26,0.1588
gfx942,80,128,1536,5120,torch.int8,asm,3,3,14.8921,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_64x128E,135.19,598.5,0.1017
gfx942,80,150,1536,5120,torch.int8,asm,4,3,15.3652,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_80x128E,153.55,591.8,0.1017
gfx942,80,192,1536,1024,torch.int8,asm,1,1,6.9538,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_32x128E,86.86,339.28,0.0
gfx942,80,192,1536,5120,torch.int8,asm,3,2,17.2532,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_64x128E,175.03,546.98,0.0645
gfx942,80,220,1536,5120,torch.int8,asm,4,2,18.9054,_ZN5aiter41I8gemm_bf16_perTokenI8_BpreShuffle_80x128E,183.03,511.31,0.0653
