gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1024,6144,4096,ck,14,0,44.0612,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1169.73,951.93,0.0002
gfx950,256,2048,6144,4096,ck,13,0,74.66,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1380.65,786.5,0.0
gfx950,256,4096,6144,4096,ck,13,0,131.1005,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1572.52,703.85,0.0
gfx950,256,8192,6144,4096,cktile,27,0,242.8494,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1697.83,656.31,0.0
gfx950,256,16384,6144,4096,cktile,11,0,445.3086,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1851.83,659.32,0.0
gfx950,256,32768,6144,4096,cktile,28,0,887.6722,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1857.97,633.16,0.0
gfx950,256,65536,6144,4096,cktile,29,0,1757.2242,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1877.13,625.37,0.0
gfx950,256,1,6144,4096,ck,7,0,12.8149,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.93,1965.07,0.0
gfx950,256,2,6144,4096,ck,7,0,12.8611,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.83,1959.29,0.0
gfx950,256,4,6144,4096,ck,7,0,12.7887,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.74,1972.94,0.0
gfx950,256,6,6144,4096,ck,7,0,12.8423,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,23.52,1967.26,0.0
gfx950,256,8,6144,4096,ck,7,0,12.9111,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,31.19,1959.31,0.0
gfx950,256,12,6144,4096,ck,7,0,12.9334,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.7,1961.0,0.0
gfx950,256,16,6144,4096,ck,7,0,11.9022,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,67.66,2136.41,0.0
gfx950,256,24,6144,4096,ck,7,0,12.8409,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,94.07,1990.44,0.0
gfx950,256,32,6144,4096,ck,7,0,11.8745,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,135.64,2163.47,0.0
gfx950,256,40,6144,4096,ck,7,0,13.1581,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,153.01,1962.38,0.0
gfx950,256,48,6144,4096,ck,7,0,12.7862,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,188.95,2029.71,0.0
gfx950,256,56,6144,4096,ck,6,0,13.5172,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,208.52,1929.64,0.0
gfx950,256,64,6144,4096,ck,12,0,12.8551,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,250.58,2039.22,0.0
