gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,16,4096,cktile,12,0,9.9757,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,0.01,6.98,0.0
gfx950,256,1,32,4096,cktile,12,0,9.9923,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,0.03,13.53,0.0
gfx950,256,1,256,512,ck,7,0,2.6477,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.1,49.89,0.0
gfx950,256,1,512,256,ck,5,0,2.7069,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,0.1,48.89,0.0
gfx950,256,1,512,512,ck,7,0,2.9061,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.18,90.73,0.0
gfx950,256,1,512,1024,ck,6,0,4.124,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.25,127.63,0.0
gfx950,256,1,512,2048,ck,6,0,5.2158,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.4,201.63,0.0
gfx950,256,1,1024,256,ck,5,0,2.7529,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,0.19,96.06,0.0
gfx950,256,1,1024,512,ck,7,0,2.9323,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.36,179.67,0.0
gfx950,256,1,1024,1024,cktile,1,0,4.3045,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,0.49,244.31,0.0
gfx950,256,1,1024,2048,ck,7,0,5.17,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.81,406.43,0.0
gfx950,256,1,1024,4096,ck,7,0,11.8308,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.71,355.04,0.0
gfx950,256,1,1152,2048,ck,6,0,5.7928,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.81,408.03,0.0
gfx950,256,1,1536,2048,ck,6,0,7.6446,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.82,412.17,0.0
gfx950,256,1,2048,512,cktile,15,0,3.5207,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_4,0.6,299.14,0.0
gfx950,256,1,2048,1024,ck,7,0,3.8919,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.08,540.17,0.0
gfx950,256,1,2048,2048,ck,7,0,7.1436,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.17,588.0,0.0
gfx950,256,1,2048,4096,ck,7,0,12.1487,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.38,691.17,0.0
gfx950,256,1,2176,4096,ck,7,0,12.8835,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.38,692.46,0.0
gfx950,256,1,2304,2048,ck,7,0,7.0303,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.34,672.13,0.0
gfx950,256,1,2560,4096,ck,7,0,12.3531,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.7,849.58,0.0
gfx950,256,1,3072,2048,ck,7,0,7.2249,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.74,871.94,0.0
gfx950,256,1,4096,2048,ck,7,0,7.6088,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.2,1103.83,0.0
gfx950,256,1,4352,4096,ck,7,0,12.4593,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.86,1431.75,0.0
gfx950,256,1,4608,2048,ck,7,0,7.2729,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.6,1299.13,0.0
gfx950,256,1,4608,4096,ck,7,0,12.6298,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.99,1495.49,0.0
gfx950,256,1,5120,4096,ck,7,0,12.8459,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.27,1633.66,0.0
gfx950,256,1,6144,2048,ck,7,0,7.9306,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.17,1588.44,0.0
gfx950,256,1,8704,4096,ck,7,0,14.0155,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.09,2545.26,0.0
gfx950,256,1,9216,2048,ck,7,0,7.7504,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.87,2437.92,0.0
gfx950,256,1,10240,4096,ck,7,0,14.125,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.94,2971.16,0.0
gfx950,256,1,12288,2048,ck,7,0,8.545,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.89,2948.21,0.0
gfx950,256,1,17408,4096,ck,7,0,17.2253,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.28,4141.7,0.0
gfx950,256,1,20480,4096,ck,7,0,17.7274,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.46,4734.54,0.0
gfx950,256,2,16,4096,cktile,12,0,13.9708,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_3,0.02,5.28,0.0
gfx950,256,2,32,4096,cktile,1,0,13.9482,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,0.04,9.99,0.0
gfx950,256,2,256,512,ck,7,0,2.6554,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.2,50.13,0.0
gfx950,256,2,512,256,ck,6,0,2.5406,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.21,52.6,0.0
gfx950,256,2,512,512,ck,6,0,2.7919,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.38,94.99,0.0
gfx950,256,2,512,1024,ck,6,0,3.8596,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.54,136.9,0.0
gfx950,256,2,512,2048,ck,6,0,5.4904,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.76,192.1,0.0
gfx950,256,2,1024,256,ck,5,0,2.7842,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,0.38,95.81,0.0
gfx950,256,2,1024,512,ck,7,0,2.9541,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.71,179.21,0.0
