gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,3072,1536,ck,8,0,6.6154,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.43,714.43,0.0
gfx942,304,2,3072,1536,ck,8,0,6.62,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.85,715.1,0.0
gfx942,304,2,4096,512,ck,8,0,3.4925,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.4,605.46,0.0
gfx942,304,2,7168,2048,ck,8,0,8.1045,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,7.25,1815.39,0.0
gfx942,304,4,3072,1536,ck,8,0,6.6883,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.64,710.09,0.0
gfx942,304,4,4096,512,ck,8,0,3.5496,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.73,600.62,0.0
gfx942,304,4,7168,2048,ck,8,0,8.1083,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,14.48,1818.58,0.0
gfx942,304,8,3072,1536,ck,8,0,6.7342,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.21,709.81,0.0
gfx942,304,8,7168,2048,ck,8,0,7.9481,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,29.55,1863.48,0.0
gfx942,304,16,3072,1536,ck,8,0,6.7699,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,22.3,715.15,0.0
gfx942,304,16,7168,2048,ck,8,0,8.3748,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,56.09,1784.19,0.0
gfx942,304,32,3072,1536,ck,8,0,6.7891,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,44.48,731.22,0.0
gfx942,304,64,3072,1536,ck,8,0,6.6606,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,90.68,782.23,0.0
gfx942,304,64,7168,2048,ck,18,0,11.0504,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,170.04,1423.35,0.0
gfx942,304,128,2112,7168,ck,8,0,19.7518,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,196.21,840.28,0.0
gfx942,304,128,3072,1536,ck,8,0,7.987,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,151.24,713.86,0.0
gfx942,304,256,2112,7168,ck,18,0,26.7667,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,289.58,674.54,0.0
gfx942,304,256,4096,512,ck,18,0,5.9946,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,179.12,721.55,0.0
gfx942,304,512,512,7168,ck,8,0,19.5102,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,192.62,403.09,0.0
gfx942,304,512,2112,7168,ck,18,0,33.9281,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,456.91,618.12,0.0
gfx942,304,1024,256,7168,ck,8,0,19.4989,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,192.73,497.43,0.0
gfx942,304,1024,512,7168,ck,18,0,26.3785,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,284.94,457.14,0.0
gfx942,304,1024,2112,7168,ck,18,0,57.3845,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,540.29,467.1,0.0
gfx942,304,2048,256,7168,ck,18,0,26.9658,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,278.73,651.33,0.0
gfx942,304,2048,512,7168,ck,18,0,33.6922,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,446.17,606.88,0.0
gfx942,304,4096,256,7168,ck,18,0,34.1585,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,440.08,974.64,0.0
gfx942,304,8192,256,7168,ck,18,0,61.0691,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,492.31,1060.27,0.0
gfx942,304,20480,512,7168,ck,2,0,254.5761,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,590.49,673.44,0.0
gfx942,304,20480,3072,1536,ck,0,0,275.9635,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,700.36,587.05,0.0
gfx942,304,20480,4096,512,ck,0,0,174.4861,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,492.3,1033.64,0.0
gfx942,304,20480,7168,2048,ck,0,0,782.9791,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,767.96,447.3,0.0
gfx942,304,32768,256,7168,ck,0,0,196.8804,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,610.82,1287.55,0.0
