gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,512,6144,ck,8,3,6.2284,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.01,506.21,0.0
gfx942,304,2,512,6144,ck,8,3,4.9581,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.54,637.35,0.0
gfx942,304,4,512,6144,ck,8,3,6.0716,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.14,522.83,0.0
gfx942,304,8,512,6144,ck,8,3,4.9916,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.08,641.69,0.0
gfx942,304,16,512,6144,ck,8,3,5.1914,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.39,628.04,0.0
gfx942,304,32,512,6144,ck,8,3,6.4849,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,31.05,520.46,0.0001
gfx942,304,48,512,6144,ck,8,3,8.3615,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,36.12,417.36,0.0002
gfx942,304,64,512,6144,ck,8,3,7.6306,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,52.77,472.37,0.0001
gfx942,304,80,512,6144,ck,13,3,11.5358,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,43.63,322.4,0.0001
gfx942,304,96,512,6144,ck,8,3,11.5501,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,52.29,331.93,0.0001
gfx942,304,112,512,6144,ck,8,3,11.1315,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,63.3,354.72,0.0002
gfx942,304,128,512,6144,ck,8,3,10.8236,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,74.4,375.4,0.0002
gfx942,304,144,512,6144,ck,8,3,11.6566,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,77.72,358.42,0.0002
gfx942,304,160,512,6144,ck,8,3,11.8804,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,84.73,361.32,0.0002
gfx942,304,176,512,6144,ck,8,3,12.1368,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,91.23,363.13,0.0002
gfx942,304,192,512,6144,ck,8,3,12.2839,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,98.34,368.12,0.0002
