gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,1792,5120,torch.float8_e4m3fn,flydsl,373,0,9.5075,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x0x2_default,1.93,965.95,0.0
gfx950,256,2,1792,5120,torch.float8_e4m3fn,flydsl,249,0,9.6087,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default,3.82,956.68,0.0
gfx950,256,4,1792,5120,torch.float8_e4m3fn,flydsl,737,0,9.663,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x0x2_default,7.6,953.11,0.0
gfx950,256,8,1792,5120,torch.float8_e4m3fn,flydsl,249,0,9.7319,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default,15.08,949.93,0.0
gfx950,256,16,1792,5120,torch.float8_e4m3fn,ck,10,0,9.8803,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,29.72,942.71,0.0
gfx950,256,32,1792,5120,torch.float8_e4m3fn,ck,8,0,9.0956,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,64.56,1039.36,0.0
gfx950,256,64,1792,5120,torch.float8_e4m3fn,ck,24,0,9.3483,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,125.63,1041.06,0.0
gfx950,256,128,1792,5120,torch.float8_e4m3fn,ck,11,0,9.0084,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,260.74,1142.17,0.0
gfx950,256,256,1792,5120,torch.float8_e4m3fn,flydsl,72,0,10.2115,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x0x4x2_default,460.03,1116.71,0.0
gfx950,256,512,1792,5120,torch.float8_e4m3fn,flydsl,1958,0,12.634,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x3x4x1_default,743.65,1078.95,0.0
gfx950,256,1024,1792,5120,torch.float8_e4m3fn,flydsl,698,0,19.1419,flydsl_bpreshuflle_64x64x256_F8_F8_B16_1x2x4x2_default,981.64,944.94,0.0
gfx950,256,2048,1792,5120,torch.float8_e4m3fn,flydsl,172,0,29.1427,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x0x2_default,1289.55,926.5,0.0
gfx950,256,4096,1792,5120,torch.float8_e4m3fn,flydsl,172,0,46.5462,flydsl_bpreshuflle_128x128x256_F8_F8_B16_1x0x0x2_default,1614.78,963.06,0.0
gfx950,256,8192,1792,5120,torch.float8_e4m3fn,flydsl,1207,0,77.0484,flydsl_bpreshuflle_128x256x128_F8_F8_B16_0x0x0x1_default,1951.03,1044.51,0.0
gfx950,256,16384,1792,5120,torch.float8_e4m3fn,ck,33,0,142.2313,a8w8_bpreshuffle_256x256x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,2113.79,1067.14,0.0
gfx950,256,32768,1792,5120,torch.float8_e4m3fn,cktile,42,0,266.7796,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x256x128_1x4x1_16x16x128_default,2253.9,1103.49,0.0
gfx950,256,1,3072,5120,torch.float8_e4m3fn,flydsl,435,0,8.8552,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x4x2_default,3.55,1777.48,0.0
gfx950,256,2,3072,5120,torch.float8_e4m3fn,flydsl,677,0,8.9137,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,7.06,1767.07,0.0
