gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,6144,4096,torch.float8_e4m3fn,flydsl,2950,0,8.5052,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x4x4_default,5.92,2960.8,0.0
gfx950,256,2,6144,4096,torch.float8_e4m3fn,flydsl,1755,0,8.5564,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x4_default,11.76,2945.0,0.0
gfx950,256,4,6144,4096,torch.float8_e4m3fn,flydsl,2301,0,8.5731,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x3x0_default,23.48,2943.08,0.0
gfx950,256,8,6144,4096,torch.float8_e4m3fn,flydsl,2950,0,8.6809,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x4x4_default,46.38,2914.09,0.0
gfx950,256,16,6144,4096,torch.float8_e4m3fn,ck,10,0,7.9752,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,100.98,3188.38,0.0
gfx950,256,32,6144,4096,torch.float8_e4m3fn,ck,5,0,8.5339,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,188.73,3010.36,0.0
gfx950,256,64,6144,4096,torch.float8_e4m3fn,flydsl,1110,0,9.7826,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x1x0x1x4_default,329.28,2679.7,0.0
gfx950,256,128,6144,4096,torch.float8_e4m3fn,ck,114,0,13.7353,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,469.04,1984.88,0.0
gfx950,256,256,6144,4096,torch.float8_e4m3fn,flydsl,294,0,16.0835,flydsl_bpreshuflle_64x128x256_F8_F8_B16_2x0x1x0x4_default,801.13,1825.48,0.0
gfx950,256,512,6144,4096,torch.float8_e4m3fn,flydsl,1618,0,21.1344,flydsl_bpreshuflle_64x192x256_F8_F8_B16_2x0x1x2x4_default,1219.33,1587.67,0.0
gfx950,256,1024,6144,4096,torch.float8_e4m3fn,flydsl,1641,0,33.5429,flydsl_bpreshuflle_128x192x128_F8_F8_B16_2x0x1x2x4_default,1536.53,1250.43,0.0
gfx950,256,2048,6144,4096,torch.float8_e4m3fn,ck,35,0,55.0851,a8w8_bpreshuffle_256x256x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1871.27,1065.99,0.0
gfx950,256,4096,6144,4096,torch.float8_e4m3fn,flydsl,1886,0,101.7868,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x0_default,2025.39,906.55,0.0
gfx950,256,8192,6144,4096,torch.float8_e4m3fn,flydsl,1967,0,179.7591,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,2293.72,886.65,0.0
gfx950,256,16384,6144,4096,torch.float8_e4m3fn,flydsl,1967,0,343.9058,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,2397.85,853.73,0.0
gfx950,256,32768,6144,4096,torch.float8_e4m3fn,flydsl,1967,0,678.8389,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,2429.54,827.94,0.0
gfx950,256,1,7168,512,torch.float8_e4m3fn,flydsl,1,0,3.3969,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x0_default,2.16,1084.77,0.0
gfx950,256,2,7168,512,torch.float8_e4m3fn,flydsl,22,0,3.409,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x0x0x0_default,4.31,1085.28,0.0
gfx950,256,4,7168,512,torch.float8_e4m3fn,flydsl,2605,0,3.4023,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x0x4x0_default,8.63,1096.14,0.0
gfx950,256,8,7168,512,torch.float8_e4m3fn,flydsl,1329,0,3.3758,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2x0_default,17.39,1122.34,0.0
gfx950,256,16,7168,512,torch.float8_e4m3fn,flydsl,1977,0,3.4053,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x3x0_default,34.49,1147.5,0.0
gfx950,256,32,7168,512,torch.float8_e4m3fn,flydsl,2129,0,3.497,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x1x3x0_default,67.17,1185.35,0.0
gfx950,256,64,7168,512,torch.float8_e4m3fn,flydsl,673,0,3.6825,flydsl_bpreshuflle_32x64x512_F8_F8_B16_1x0x0x1x0_default,127.57,1254.66,0.0
gfx950,256,512,7168,512,torch.float8_e4m3fn,flydsl,1424,0,7.1056,flydsl_bpreshuflle_64x128x256_F8_F8_B16_1x0x0x2x4_default,528.89,1586.38,0.0
gfx950,256,2048,7168,512,torch.float8_e4m3fn,flydsl,1915,0,15.8379,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x1x2x4_default,949.14,2151.72,0.0
gfx950,256,8192,7168,512,torch.float8_e4m3fn,flydsl,933,0,49.6483,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x1x1x4_default,1211.11,2523.85,0.0
gfx950,256,32768,7168,512,torch.float8_e4m3fn,flydsl,435,0,176.502,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x1x0x0x4_default,1362.69,2777.36,0.0
gfx950,256,1,2624,6144,torch.float8_e4m3fn,cktile,2,0,10.4053,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_16x64x512_1x4x1_16x16x128_default,3.1,1550.48,0.0
gfx950,256,2,2624,6144,torch.float8_e4m3fn,flydsl,1674,0,10.4715,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x0_default,6.16,1541.77,0.0
gfx950,256,4,2624,6144,torch.float8_e4m3fn,flydsl,1674,0,10.4468,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x1x0x2x0_default,12.35,1547.6,0.0
gfx950,256,8,2624,6144,torch.float8_e4m3fn,flydsl,2743,0,10.6553,flydsl_bpreshuflle_16x64x512_F8_F8_B16_2x0x1x4x0_default,24.21,1521.59,0.0
gfx950,256,16,2624,6144,torch.float8_e4m3fn,ck,24,0,10.373,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,49.73,1571.79,0.0
gfx950,256,32,2624,6144,torch.float8_e4m3fn,ck,8,0,10.5063,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,98.21,1569.19,0.0
gfx950,256,64,2624,6144,torch.float8_e4m3fn,ck,11,0,10.2645,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,201.04,1641.67,0.0
gfx950,256,128,2624,6144,torch.float8_e4m3fn,flydsl,944,0,12.0748,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x1x1x4_default,341.8,1455.93,0.0
gfx950,256,256,2624,6144,torch.float8_e4m3fn,flydsl,2821,0,15.0927,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x0x1x4x4_default,546.91,1261.42,0.0
gfx950,256,512,2624,6144,torch.float8_e4m3fn,flydsl,1288,0,20.7128,flydsl_bpreshuflle_64x64x256_F8_F8_B16_2x1x1x1x4_default,797.03,1059.95,0.0
gfx950,256,1024,2624,6144,torch.float8_e4m3fn,cktile,227,0,31.6184,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x4_96x64x256_1x4x1_16x16x128_default,1044.25,878.83,0.0
gfx950,256,2048,2624,6144,torch.float8_e4m3fn,flydsl,2922,0,54.0529,flydsl_bpreshuflle_128x64x128_F8_F8_B16_2x1x0x4x0_default,1221.68,729.89,0.0
gfx950,256,4096,2624,6144,torch.float8_e4m3fn,flydsl,1228,0,97.3968,flydsl_bpreshuflle_128x64x128_F8_F8_B16_2x1x1x1x0_default,1356.0,644.62,0.0
gfx950,256,8192,2624,6144,torch.float8_e4m3fn,flydsl,2790,0,161.7645,flydsl_bpreshuflle_256x64x128_F8_F8_B16_2x0x1x4x0_default,1632.87,676.57,0.0
gfx950,256,16384,2624,6144,torch.float8_e4m3fn,flydsl,2203,0,308.3385,flydsl_bpreshuflle_256x64x128_F8_F8_B16_2x0x1x3x0_default,1713.32,657.62,0.0
gfx950,256,32768,2624,6144,torch.float8_e4m3fn,cktile,71,0,618.6114,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_256x64x128_1x4x1_16x16x128_default,1707.96,629.5,0.0
gfx950,256,1,4096,2048,torch.float8_e4m3fn,flydsl,84,0,5.2823,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x4_default,3.18,1590.0,0.0
gfx950,256,2,4096,2048,torch.float8_e4m3fn,flydsl,1329,0,5.2819,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x2x0_default,6.35,1592.06,0.0
gfx950,256,4,4096,2048,torch.float8_e4m3fn,flydsl,665,0,5.2692,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,12.74,1599.78,0.0
gfx950,256,8,4096,2048,torch.float8_e4m3fn,flydsl,1,0,5.2677,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x0_default,25.48,1608.01,0.0
gfx950,256,16,4096,2048,torch.float8_e4m3fn,flydsl,665,0,5.3982,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,49.73,1584.31,0.0
gfx950,256,32,4096,2048,torch.float8_e4m3fn,flydsl,665,0,5.4685,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x1x0_default,98.18,1593.91,0.0
gfx950,256,64,4096,2048,torch.float8_e4m3fn,flydsl,84,0,5.4675,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x0x0x0x4_default,196.39,1654.13,0.0
gfx950,256,128,4096,2048,torch.float8_e4m3fn,flydsl,446,0,6.7343,flydsl_bpreshuflle_32x64x512_F8_F8_B16_2x1x0x0x4_default,318.89,1440.29,0.0
gfx950,256,256,4096,2048,torch.float8_e4m3fn,flydsl,2833,0,8.5555,flydsl_bpreshuflle_64x64x256_F8_F8_B16_2x0x1x4x4_default,502.01,1286.9,0.0
gfx950,256,512,4096,2048,torch.float8_e4m3fn,flydsl,1940,0,10.54,flydsl_bpreshuflle_64x128x256_F8_F8_B16_2x1x1x2x4_default,814.98,1293.31,0.0
gfx950,256,1024,4096,2048,torch.float8_e4m3fn,flydsl,2272,0,14.5599,flydsl_bpreshuflle_128x128x256_F8_F8_B16_2x0x1x3x4_default,1179.94,1296.33,0.0
gfx950,256,2048,4096,2048,torch.float8_e4m3fn,flydsl,2787,0,22.5669,flydsl_bpreshuflle_128x128x256_F8_F8_B16_2x0x1x4x0_default,1522.57,1301.03,0.0
gfx950,256,4096,4096,2048,torch.float8_e4m3fn,flydsl,1967,0,35.9181,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,1913.23,1401.29,0.0
gfx950,256,8192,4096,2048,torch.float8_e4m3fn,flydsl,1967,0,72.7619,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,1888.89,1268.17,0.0
gfx950,256,16384,4096,2048,torch.float8_e4m3fn,flydsl,1967,0,136.344,flydsl_bpreshuflle_128x256x128_F8_F8_B16_2x1x1x2x4_default,2016.06,1292.03,0.0
gfx950,256,32768,4096,2048,torch.float8_e4m3fn,flydsl,1429,0,258.3382,flydsl_bpreshuflle_128x256x128_F8_F8_B16_1x0x0x2x4_default,2128.05,1331.33,0.0
