gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,4096,1024,torch.float8_e4m3fn,flydsl,1,0,4.4217,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x0x0x2_default,1.9,950.66,0.0
gfx950,256,2,4096,1024,torch.float8_e4m3fn,flydsl,737,0,4.4712,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x0x2_default,3.75,942.19,0.0
gfx950,256,4,4096,1024,torch.float8_e4m3fn,flydsl,249,0,4.0052,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default,8.38,1056.42,0.0
gfx950,256,8,4096,1024,torch.float8_e4m3fn,flydsl,737,0,4.557,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x0x2_default,14.73,936.59,0.0
gfx950,256,12,4096,1024,torch.float8_e4m3fn,flydsl,497,0,3.9654,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x2x0x2_default,25.39,1085.61,0.0
gfx950,256,16,4096,1024,torch.float8_e4m3fn,flydsl,249,0,4.5415,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default,29.55,956.02,0.0
gfx950,256,32,4096,1024,torch.float8_e4m3fn,flydsl,961,0,4.0169,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default,66.83,1117.58,0.0
gfx950,256,1,4096,4096,torch.float8_e4m3fn,flydsl,249,0,8.0167,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x1x0x2_default,4.19,2094.32,0.0
gfx950,256,2,4096,4096,torch.float8_e4m3fn,flydsl,961,0,8.0767,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x4x0x2_default,8.31,2080.28,0.0
gfx950,256,4,4096,4096,torch.float8_e4m3fn,flydsl,1,0,8.1491,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x0x0x2_default,16.47,2064.81,0.0
gfx950,256,8,4096,4096,torch.float8_e4m3fn,flydsl,1,0,8.2125,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x0x0x2_default,32.69,2054.86,0.0
gfx950,256,12,4096,4096,torch.float8_e4m3fn,flydsl,497,0,7.8169,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x2x0x2_default,51.51,2165.14,0.0
gfx950,256,16,4096,4096,torch.float8_e4m3fn,ck,24,0,7.8965,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,67.99,2149.54,0.0
gfx950,256,32,4096,4096,torch.float8_e4m3fn,ck,8,0,8.0244,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,133.81,2139.78,0.0
gfx950,256,1,8704,4096,torch.float8_e4m3fn,flydsl,557,0,9.1075,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x2x4x2_default,7.83,3916.89,0.0
gfx950,256,2,8704,4096,torch.float8_e4m3fn,flydsl,737,0,8.7986,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x3x0x2_default,16.21,4056.85,0.0
gfx950,256,4,8704,4096,torch.float8_e4m3fn,flydsl,677,0,8.8884,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,32.09,4020.7,0.0
gfx950,256,8,8704,4096,torch.float8_e4m3fn,flydsl,435,0,9.2862,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x1x4x2_default,61.43,3857.73,0.0
gfx950,256,12,8704,4096,torch.float8_e4m3fn,flydsl,905,0,9.1087,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default,93.94,3942.34,0.0
gfx950,256,16,8704,4096,torch.float8_e4m3fn,flydsl,677,0,9.663,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x2x4x2_default,118.06,3725.1,0.0
gfx950,256,32,8704,4096,torch.float8_e4m3fn,flydsl,10,0,10.6752,flydsl_bpreshuflle_32x64x512_F8_F8_B16_0x0x0x2_default,213.74,3404.12,0.0
gfx950,256,1,10240,4096,torch.float8_e4m3fn,flydsl,1,0,9.6059,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x0x0x2_default,8.73,4368.94,0.0
gfx950,256,2,10240,4096,torch.float8_e4m3fn,flydsl,1108,0,9.6219,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x4x4x2_default,17.44,4364.23,0.0
gfx950,256,4,10240,4096,torch.float8_e4m3fn,flydsl,905,0,9.6094,flydsl_bpreshuflle_16x64x512_F8_F8_B16_1x3x4x2_default,34.92,4375.02,0.0
gfx950,256,8,10240,4096,torch.float8_e4m3fn,flydsl,63,0,9.6885,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x0x4x2_default,69.27,4349.45,0.0
gfx950,256,12,10240,4096,torch.float8_e4m3fn,flydsl,63,0,9.4205,flydsl_bpreshuflle_16x64x512_F8_F8_B16_0x0x4x2_default,106.86,4483.62,0.0
