M,N,K,q_dtype_w
1,6144,4096,torch.float8_e4m3fn
2,6144,4096,torch.float8_e4m3fn
4,6144,4096,torch.float8_e4m3fn
8,6144,4096,torch.float8_e4m3fn
16,6144,4096,torch.float8_e4m3fn
32,6144,4096,torch.float8_e4m3fn
64,6144,4096,torch.float8_e4m3fn
128,6144,4096,torch.float8_e4m3fn
256,6144,4096,torch.float8_e4m3fn
512,6144,4096,torch.float8_e4m3fn
1024,6144,4096,torch.float8_e4m3fn
2048,6144,4096,torch.float8_e4m3fn
4096,6144,4096,torch.float8_e4m3fn
8192,6144,4096,torch.float8_e4m3fn
16384,6144,4096,torch.float8_e4m3fn
32768,6144,4096,torch.float8_e4m3fn
1,7168,512,torch.float8_e4m3fn
2,7168,512,torch.float8_e4m3fn
4,7168,512,torch.float8_e4m3fn
8,7168,512,torch.float8_e4m3fn
16,7168,512,torch.float8_e4m3fn
32,7168,512,torch.float8_e4m3fn
64,7168,512,torch.float8_e4m3fn
512,7168,512,torch.float8_e4m3fn
2048,7168,512,torch.float8_e4m3fn
8192,7168,512,torch.float8_e4m3fn
32768,7168,512,torch.float8_e4m3fn
1,2624,6144,torch.float8_e4m3fn
2,2624,6144,torch.float8_e4m3fn
4,2624,6144,torch.float8_e4m3fn
8,2624,6144,torch.float8_e4m3fn
16,2624,6144,torch.float8_e4m3fn
32,2624,6144,torch.float8_e4m3fn
64,2624,6144,torch.float8_e4m3fn
128,2624,6144,torch.float8_e4m3fn
256,2624,6144,torch.float8_e4m3fn
512,2624,6144,torch.float8_e4m3fn
1024,2624,6144,torch.float8_e4m3fn
2048,2624,6144,torch.float8_e4m3fn
4096,2624,6144,torch.float8_e4m3fn
8192,2624,6144,torch.float8_e4m3fn
16384,2624,6144,torch.float8_e4m3fn
32768,2624,6144,torch.float8_e4m3fn
1,4096,2048,torch.float8_e4m3fn
2,4096,2048,torch.float8_e4m3fn
4,4096,2048,torch.float8_e4m3fn
8,4096,2048,torch.float8_e4m3fn
16,4096,2048,torch.float8_e4m3fn
32,4096,2048,torch.float8_e4m3fn
64,4096,2048,torch.float8_e4m3fn
128,4096,2048,torch.float8_e4m3fn
256,4096,2048,torch.float8_e4m3fn
512,4096,2048,torch.float8_e4m3fn
1024,4096,2048,torch.float8_e4m3fn
2048,4096,2048,torch.float8_e4m3fn
4096,4096,2048,torch.float8_e4m3fn
8192,4096,2048,torch.float8_e4m3fn
16384,4096,2048,torch.float8_e4m3fn
32768,4096,2048,torch.float8_e4m3fn
