gfx,cu_num,M,N,K,q_dtype_w,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,1,64,7168,torch.float8_e4m3fnuz,ck,10,0,10.109,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.09,46.1,0.0
gfx942,80,2,64,7168,torch.float8_e4m3fnuz,ck,10,0,10.1816,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.18,46.49,0.0
gfx942,80,4,64,7168,torch.float8_e4m3fnuz,ck,10,0,10.1737,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.36,47.96,0.0
gfx942,80,8,64,7168,torch.float8_e4m3fnuz,ck,10,0,10.4092,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.71,49.68,0.0
gfx942,80,16,64,7168,torch.float8_e4m3fnuz,ck,24,0,8.826,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.66,65.2,0.0
gfx942,80,32,64,7168,torch.float8_e4m3fnuz,ck,24,0,9.4134,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,3.12,73.54,0.0
gfx942,80,64,64,7168,torch.float8_e4m3fnuz,ck,24,0,9.3656,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,6.27,98.84,0.0
gfx942,80,96,64,7168,torch.float8_e4m3fnuz,ck,24,0,9.3563,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,9.41,123.89,0.0
gfx942,80,128,64,7168,torch.float8_e4m3fnuz,ck,24,0,9.4481,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,12.43,147.4,0.0
gfx942,80,160,64,7168,torch.float8_e4m3fnuz,ck,24,0,9.4711,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v2,15.5,171.69,0.0
