gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,80,1,1536,4096,triton,0,0,7.780,triton,0,0,0.0
gfx942,80,2,1536,4096,triton,0,0,8.090,triton,0,0,0.0
gfx942,80,4,1536,4096,triton,0,0,8.130,triton,0,0,0.0
gfx942,80,8,1536,4096,triton,0,0,8.750,triton,0,0,0.0
gfx942,80,16,1536,4096,ck,7,0,12.0155,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,16.76,0.53316,0.0
gfx942,80,32,1536,4096,ck,7,0,12.2919,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,32.76,0.5305,0.0
gfx942,80,48,1536,4096,ck,7,0,12.2615,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,49.26,0.54117,0.0
gfx942,80,64,1536,4096,ck,7,0,14.2278,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,56.6,0.47444,0.0
gfx942,80,128,1536,4096,asm,0,1,19.048,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,84.56,0.37846,0.0
gfx942,80,256,1536,4096,asm,1,1,20.665,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,155.88,0.39325,0.0
gfx942,80,384,1536,4096,asm,2,1,25.1312,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,192.26,0.35987,0.0
gfx942,80,512,1536,4096,asm,4,1,33.029,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,195.05,0.3016,0.0
gfx942,80,640,1536,4096,asm,5,1,42.0192,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,191.65,0.2589,0.0
gfx942,80,768,1536,4096,asm,5,1,42.2965,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,228.47,0.2789,0.0
gfx942,80,896,1536,4096,asm,3,1,54.9308,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,205.25,0.23145,0.0
gfx942,80,1024,1536,4096,asm,3,1,55.3197,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,232.92,0.24641,0.0
gfx942,80,1152,1536,4096,asm,4,1,63.8699,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,226.95,0.22779,0.0
