gfx,b,m,n,k,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,2,1,1024,1024,opus,319,1,3.59,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu4,1.2,585.88,0.0
gfx950,2,1,1024,4096,opus,311,1,7.8,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,2.2,1076.95,0.0015
gfx950,2,4,1024,1024,opus,319,1,3.6,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu4,4.7,589.37,0.0
gfx950,2,4,1024,4096,opus,311,1,7.84,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,8.6,1075.87,0.0015
gfx950,2,8,1024,1024,opus,319,1,3.6,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu4,9.3,596.20,0.0
gfx950,2,8,1024,4096,opus,311,1,8.08,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,16.6,1050.11,0.0015
gfx950,2,16,1024,1024,opus,319,1,3.61,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu4,18.6,608.16,0.0
gfx950,2,16,1024,4096,opus,311,1,8.37,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,32.1,1025.7,0.0015
gfx950,2,32,1024,1024,opus,319,1,3.66,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu4,36.7,626.71,0.0
gfx950,2,32,1024,4096,opus,311,1,8.4,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,63.9,1045.26,0.0015
gfx950,2,64,1024,1024,opus,319,1,3.72,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x256_1x2_16x16x128_1x128x128_wgpcu4,72.2,669.45,0.0
gfx950,2,64,1024,4096,opus,311,1,8.53,opus_bmm_a8w8_mxscale_flatmm_splitk_256x16x32x512_1x2_16x16x128_1x128x128_wgpcu2_scaleprefetch,125.9,1075.6,0.0015
gfx950,2,128,1024,1024,opus,321,1,4.09,opus_bmm_a8w8_mxscale_flatmm_splitk_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,131.1,705.03,0.0
gfx950,2,128,1024,4096,opus,321,1,10.76,opus_bmm_a8w8_mxscale_flatmm_splitk_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,199.5,925.53,0.0015
gfx950,2,256,1024,1024,opus,321,1,4.74,opus_bmm_a8w8_mxscale_flatmm_splitk_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,226.4,774.26,0.0
gfx950,2,256,1024,4096,opus,321,1,14.5,opus_bmm_a8w8_mxscale_flatmm_splitk_256x32x32x256_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,296.3,795.73,0.0015
gfx950,2,512,1024,1024,opus,653,1,5.86,opus_bmm_a8w8_mxscale_flatmm_splitk_256x64x64x128_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,366.6,894.69,0.0
gfx950,2,512,1024,4096,opus,640,1,19.46,opus_bmm_a8w8_mxscale_flatmm_splitk_256x32x64x256_2x1_16x16x128_1x128x128_wgpcu2,441.4,754.38,0.0015
gfx950,2,1024,1024,1024,opus,653,1,7.44,opus_bmm_a8w8_mxscale_flatmm_splitk_256x64x64x128_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,577.4,1127.50,0.0
gfx950,2,1024,1024,4096,opus,653,1,27.05,opus_bmm_a8w8_mxscale_flatmm_splitk_256x64x64x128_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,635.2,775.4,0.0015
gfx950,2,2048,1024,1024,opus,653,1,13.02,opus_bmm_a8w8_mxscale_flatmm_splitk_256x64x64x128_2x1_16x16x128_1x128x128_wgpcu2_scaleprefetch,659.9,1127.50,0.0
gfx950,2,2048,1024,4096,opus,325,1,39.05,opus_bmm_a8w8_mxscale_flatmm_splitk_256x128x128x128_2x1_16x16x128_1x128x128_wgpcu1_sfpreload,879.9,859.29,0.0015
gfx950,2,4096,1024,1024,opus,163,4,21.29,opus_bmm_a8w8_mxscale_flatmm_splitk_m128n128k128_minterleave_mi2_skip_scale_wait,806.8,1280.55,0.0
gfx950,2,4096,1024,4096,opus,158,1,69.04,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,995.3,850.51,0.0015
gfx950,2,8192,1024,1024,opus,150,1,36.9,opus_bmm_a8w8_mxscale_flatmm_splitk_m256n256k128_scale_pipeline,931.0,1420.83,0.0
gfx950,2,8192,1024,4096,opus,158,1,85.01,opus_bmm_a8w8_mxscale_pipeline_512x256x256x128_2x1_16x16x128_1x128x128_preload_sf,1616.8,1282.88,0.0015
