gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.0719,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw4_fp8,0.0%,8.8572,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_reduce_bnt2_persist,0.0%,20.9291,0,0,0,6.31,202009.64,
gfx950,256,2,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,13.1756,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_kw4_fp8,0.0%,11.2677,flydsl_moe2_afp8_wfp4_bf16_t32x128x256_reduce_bnt2,0.0%,24.4433,0,0,0,10.81,172967.7,
gfx950,256,4,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.1182,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_xcd4_kw2_fp8,0.0%,14.5564,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_reduce,0.0%,33.6746,0,0,0,15.69,125552.92,
gfx950,256,8,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,31.838,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w4_gui_fp8,0.0%,22.5319,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_reduce_bnt2_persist,0.0%,54.3699,0,0,0,19.44,77764.18,
gfx950,256,16,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,57.1637,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,0.0%,35.2367,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_reduce_bnt2_persist,0.0%,92.4004,0,0,0,22.88,45759.57,
gfx950,256,32,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,115.8571,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,0.0%,62.9204,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4,0.0%,178.7775,0,0,0,23.65,23652.57,
gfx950,256,64,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,227.1174,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,117.4534,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4_persist,0.0%,344.5708,0,0,0,24.54,12273.92,
gfx950,256,128,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,227.2285,flydsl_moe1_afp8_wfp4_bf16_t64x128x256_w2_gui_fp8,0.0%,117.4355,opus_moe2_afp8_wfp4_fp8_t64x256x256_sbm64_rbn3584,0.0%,344.664,0,0,49.07,12274.59,
gfx950,256,256,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,226.7966,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,125.8372,flydsl_moe2_afp8_wfp4_bf16_t16x128x256_atomic_bnt2_sbm32,0.0%,352.6338,0,0,0,95.91,12004.98,
gfx950,256,512,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,222.705,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,0.0%,118.3831,opus_moe2_afp8_wfp4_fp8_t32x256x256_sbm32_occ5_rbn2304,0.0%,341.0881,0,0,198.32,12427.49,
gfx950,256,1024,7168,512,384,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,227.2105,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,127.8035,opus_moe2_afp8_wfp4_fp8_t32x256x256_sbm32_occ4_rbn2240,0.0%,355.014,0,0,381.09,11971.02,
