gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,15.4688,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_gui_xcd4_kw2_fp8,0.0%,11.4841,flydsl_moe2_afp8_wfp8_bf16_t32x128x256_reduce,0.0%,26.9529,0,0,0,6.3,89985.67,
gfx950,256,2,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,22.7963,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_gui_fp8,0.0%,17.2287,flydsl_moe2_afp8_wfp8_bf16_t32x128x256_reduce_bnt2,0.0%,40.025,0,0,0,8.49,60596.96,
gfx950,256,4,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,41.6763,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_xcd4_fp8,0.0%,25.5508,flydsl_moe2_afp8_wfp8_bf16_t32x128x256_reduce_bnt2,0.0%,67.2271,0,0,0,10.11,36078.16,
gfx950,256,8,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,73.5866,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,42.2629,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_reduce_bnt2_persist,0.0%,115.8495,0,0,0,11.73,20936.68,
gfx950,256,16,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,113.68,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w4_gui_fp8,0.0%,67.8507,flydsl_moe2_afp8_wfp8_bf16_t32x128x256_atomic_bnt2,0.0%,181.5307,0,0,0,14.97,13362.21,
gfx950,256,32,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,167.1062,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_fp8,0.0%,96.0626,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2_persist,0.0%,263.1688,0,0,0,20.66,9218.21,
gfx950,256,64,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,221.2494,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_fp8,0.0%,129.9436,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2,0.0%,351.193,0,0,0,30.96,6909.41,
gfx950,256,128,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,245.3878,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_fp8,0.0%,146.7136,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic,0.0%,392.1014,0,0,0,55.45,6191.55,
gfx950,256,256,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,255.8283,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,153.3288,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_bnt2_persist,0.0%,409.1571,0,0,0,106.28,5939.22,
gfx950,256,512,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,265.9479,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2_gui_kw2_fp8,0.0%,161.7576,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_persist,0.0%,427.7055,0,0,0,203.35,5692.69,
gfx950,256,1024,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,297.0182,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w4_gui_fp8,0.0%,177.7574,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic_bnt2,0.0%,474.7756,0,0,0,366.38,5148.18,
gfx950,256,2048,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,348.9894,flydsl_moe1_afp8_wfp8_bf16_t128x128x256_w4_gui_fp8,0.0%,246.1611,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic_sbm128,0.0%,595.1505,0,0,0,584.55,4138.63,
gfx950,256,4096,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,64,0,529.8860000000001,flydsl_moe1_afp8_wfp8_bf16_t64x128x256_w4_bnt0_gui,0.0%,388.0813,flydsl_moe2_afp8_wfp8_bf16_t64x128x256_atomic_bnt2_persist,0.0%,917.9673,0,0,0,757.96,2724.34,
gfx950,256,8192,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,775.4362,flydsl_moe1_afp8_wfp8_bf16_t128x128x256_w2_bnt0_gui_fp8,0.0%,740.6954,flydsl_moe2_afp8_wfp8_bf16_t64x128x256_atomic_sbm128,0.0%,1516.1316,0,0,0,917.84,1699.29,
gfx950,256,16384,6144,512,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,128,0,1335.0552,flydsl_moe1_afp8_wfp8_bf16_t128x256x256_bnt0_gui,0.0%,1454.1213,flydsl_moe2_afp8_wfp8_bf16_t64x128x128_atomic_bnt2_xcd4_sbm128,0.0%,2789.1765,0,0,0,997.84,977.83,
