gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,39.1026,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,39.1026,0,0,0,5.79,92676.47,
gfx950,256,2,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,48.9153,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,48.9153,0,0,0,9.26,74085.27,
gfx950,256,4,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,64.1659,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,64.1659,0,0,0,14.12,56477.47,
gfx950,256,8,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,97.7976,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,97.7976,0,0,0,18.53,37055.89,
gfx950,256,16,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,148.1326,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,148.1326,0,0,0,24.46,24465.08,
gfx950,256,32,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,234.6067,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,234.6067,0,0,0,30.89,15448.29,
gfx950,256,64,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,290.5618,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,290.5618,0,0,0,49.89,12474.68,
gfx950,256,128,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,319.4357,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,319.4357,0,0,0,90.76,11349.55,
gfx950,256,1,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,32.0815,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,32.0815,0,0,0,3.53,56479.64,
gfx950,256,2,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,34.6309,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,34.6309,0,0,0,6.54,52322.17,
gfx950,256,4,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,46.1847,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,46.1847,0,0,0,9.81,39233.52,
gfx950,256,8,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,61.3954,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,61.3954,0,0,0,14.76,29514.22,
gfx950,256,16,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,88.5828,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,88.5828,0,0,0,20.45,20456.97,
gfx950,256,32,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,124.1052,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,124.1052,0,0,0,29.2,14603.2,
gfx950,256,64,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,162.3633,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,162.3633,0,0,0,44.64,11164.63,
gfx950,256,128,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,182.5234,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,182.5234,0,0,0,79.42,9935.78,
gfx950,256,1,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.3005,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,26.3005,0,0,0,1.44,22965.04,
gfx950,256,2,3072,512,128,4,ActivationType.Swiglu,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.8119,swiglu_mxfp4_bf16_cktile,0.0%,0.0,swiglu_mxfp4_bf16_cktile,0.0%,26.8119,0,0,0,2.82,22527.47,
