gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1079,9,4.065,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0391,0.18,182.85
gfx950,256,2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2015,9,4.0342,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0117,0.37,185.74
gfx950,256,4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1079,9,4.0435,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0137,0.73,188.29
gfx950,256,8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1079,9,4.1037,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0156,1.44,191.39
gfx950,256,16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1744,5,4.0856,flydsl_gemm7_abf16_wbf16_bf16_t16x64x64_split_k5_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0117,2.89,204.02
gfx950,256,32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1079,9,4.133,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0144,5.71,224.97
gfx950,256,48,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,2159,9,4.3526,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0184,8.13,235.73
gfx950,256,64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,1788,9,4.2294,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.015,11.16,265.36
gfx950,256,80,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3433,9,4.3684,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0174,13.5,278.95
gfx950,256,96,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,3431,9,4.5682,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k9_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.023,15.49,287.82
