gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2990,7,7.1469,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0215,3.08,3083.51
gfx950,256,2,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2990,7,7.2127,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0156,6.11,3057.79
gfx950,256,4,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4932,7,7.2033,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0189,12.23,3066.61
gfx950,256,8,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5256,7,7.5264,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k7_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0251,23.41,2944.22
gfx950,256,16,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4477,7,7.9849,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0207,44.12,2792.6
gfx950,256,32,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2015,7,9.084,flydsl_gemm3_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0196,77.57,2485.38
gfx950,256,64,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4319,4,11.5508,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0143,122.01,2002.82
gfx950,256,128,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3379,4,15.5072,flydsl_gemm3_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.014,181.76,1563.68
gfx950,256,256,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,1214,4,21.0574,opus_gemm_flatmm_splitk_256x64x96x64_2x1_16x16x32_0x0x0_wgpcu1_nooob,0.0,267.7,1257.35
gfx950,256,512,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,28.3901,native,0.0,397.12,1089.57
