M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
1,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
1,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
1,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
2,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
2,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
2,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
2,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
2,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
2,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
4,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
4,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
4,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
4,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
4,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
4,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
8,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
8,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
8,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
8,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
