gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.1628,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_bnt0_kw4,34.7%,10.4618,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_reduce,0.0%,29.6246,0,0,0,5.95,166500.67,
gfx950,256,2,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.7382,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_w2_bnt0_xcd4,35.4%,12.5631,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_reduce,0.0%,33.3013,0,0,0,10.58,148118.25,
gfx950,256,3,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,26.9316,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_w2_bnt0_xcd4_kw2,35.5%,15.5438,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_reduce_bnt2_xcd4_persist,0.0%,42.4754,0,0,0,12.44,116127.09,
gfx950,256,4,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,29.2186,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_w4_xcd4_kw2,35.8%,18.9646,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_reduce_bnt2,0.0%,48.1832,0,0,0,14.62,102370.93,
gfx950,256,8,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,47.9366,flydsl_moe1_abf16_wfp4_bf16_t32x128x256_w2_bnt0_xcd4,35.5%,29.5935,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_reduce_xcd4_persist,0.0%,77.5301,0,0,0,18.18,63621.95,
gfx950,256,16,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,92.6316,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_w3_xcd4,35.5%,47.4524,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_reduce,0.0%,140.084,0,0,0,20.12,35212.66,
gfx950,256,32,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,148.1824,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_w3_xcd4_kw2,35.6%,74.2372,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_atomic_bnt2_persist,0.2%,222.4196,0,0,0,25.34,22178.62,
gfx950,256,64,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,219.9074,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_w3_kw4,35.5%,110.1654,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_atomic_bnt2_persist,0.2%,330.0728,0,0,0,34.16,14946.46,
gfx950,256,128,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,284.5482,flydsl_moe1_abf16_wfp4_bf16_t32x64x256_w4_xcd4,35.6%,143.5903,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_atomic_persist,0.2%,428.1385,0,0,0,52.67,11525.09,
gfx950,256,256,3584,512,896,16,ActivationType.Situv2,torch.bfloat16,torch.bfloat16,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,316.479,flydsl_moe1_abf16_wfp4_bf16_t32x128x256_w3_bnt0,35.8%,166.693,flydsl_moe2_abf16_wfp4_bf16_t32x256x128_atomic,0.2%,483.172,0,0,0,93.34,10216.18,
