cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,12.6929,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.4%,6.4582,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.0%,19.1511,0,1.97,31538.08,
256,2,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,14.1385,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w3_fp4,0.6%,8.5424,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.0%,22.6809,0,3.33,26630.26,
256,4,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,14.6549,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w2_fp4,0.5%,9.8355,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.0%,24.4904,0,6.17,24663.4,
256,8,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,15.0112,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_bnt0_fp4,0.5%,11.0332,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.0%,26.0444,0,11.6,23193.22,
256,16,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.2822,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0_fp4,0.5%,15.3136,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,0.0%,34.5958,0,17.46,17462.44,
256,32,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,30.232300000000002,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,19.2482,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,0.0%,49.4805,0,24.41,12212.38,
256,64,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,37.1453,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,24.4456,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_persist_sbm32,0.0%,61.5909,0,39.23,9815.89,
256,128,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,41.3453,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,26.5566,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_sbm32,0.0%,67.9019,0,71.16,8912.26,
256,256,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,37.6798,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.8%,28.4171,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_sbm32,0.0%,66.0969,0,146.2,9173.49,
256,512,3072,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,42.342800000000004,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,33.4443,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_persist,0.0%,75.7871,0,255.02,8031.69,
