qType,kvType,Gqa,ps,qSeqLen,prefill,causal,lse,cprr,knl_name,co_name
bf16,bf16,128,0,0,0,0,0,0,_ZN5aiter41mla_dec_stage1_bf16_a16w16_subQ128_mqa128E,mla_dec_stage1_bf16_a16w16_subQ128_mqa128.co
bf16,bf16,16,1,4,0,0,0,0,_ZN5aiter42mla_a16w16_qh16_m16x4_n16x1_coex0_mask1_psE,mla_a16w16_qh16_m16x4_n16x1_coex0_mask1_ps.co
bf16,bf16,16,1,4,0,0,1,0,_ZN5aiter46mla_a16w16_qh16_m16x4_n16x1_coex0_mask1_lse_psE,mla_a16w16_qh16_m16x4_n16x1_coex0_mask1_lse_ps.co
bf16,bf16,16,0,1,0,0,0,0,_ZN5aiter39mla_dec_stage1_bf16_a16w16_subQ16_mqa16E,mla_dec_stage1_bf16_a16w16_subQ16_mqa16.co
bf16,bf16,16,0,4,0,0,0,0,_ZN5aiter39mla_a16w16_qh16_m16x4_n16x1_coex0_mask1E,mla_a16w16_qh16_m16x4_n16x1_coex0_mask1.co
bf16,bf16,16,0,8,0,0,0,0,_ZN5aiter39mla_a16w16_qh16_m32x4_n16x1_coex0_mask1E,mla_a16w16_qh16_m32x4_n16x1_coex0_mask1.co
bf16,fp8,16,1,4,0,0,0,0,_ZN5aiter41mla_a16w8_qh16_m16x4_n16x1_coex0_mask1_psE,mla_a16w8_qh16_m16x4_n16x1_coex0_mask1_ps.co
fp8,fp8,16,1,1,0,0,0,0,_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE,mla_a8w8_qh16_qseqlen1_gqaratio16_ps.co
fp8,fp8,16,1,1,0,0,1,0,_ZN5aiter40mla_a8w8_qh16_qseqlen1_gqaratio16_lse_psE,mla_a8w8_qh16_qseqlen1_gqaratio16_lse_ps.co
fp8,fp8,16,1,2,0,0,0,0,_ZN5aiter36mla_a8w8_qh16_qseqlen2_gqaratio16_psE,mla_a8w8_qh16_qseqlen2_gqaratio16_ps.co
fp8,fp8,16,1,4,0,0,0,0,_ZN5aiter39mla_a8w8_qh16_qseqlen4_gqaratio16_v3_psE,mla_a8w8_qh16_qseqlen4_gqaratio16_v3_ps.co
fp8,fp8,16,1,4,0,0,1,0,_ZN5aiter43mla_a8w8_qh16_qseqlen4_gqaratio16_lse_v3_psE,mla_a8w8_qh16_qseqlen4_gqaratio16_lse_v3_ps.co
fp8,fp8,64,1,1,0,0,0,0,_ZN5aiter39mla_a8w8_qh64_qseqlen1_gqaratio64_v3_psE,mla_a8w8_qh64_qseqlen1_gqaratio64_v3_ps.co
fp8,fp8,64,1,1,0,0,1,0,_ZN5aiter43mla_a8w8_qh64_qseqlen1_gqaratio64_lse_v3_psE,mla_a8w8_qh64_qseqlen1_gqaratio64_lse_v3_ps.co
fp8,fp8,16,0,1,0,0,0,0,_ZN5aiter33mla_a8w8_qh16_qseqlen1_gqaratio16E,mla_a8w8_qh16_qseqlen1_gqaratio16.co
fp8,fp8,16,0,2,0,0,0,0,_ZN5aiter33mla_a8w8_qh16_qseqlen2_gqaratio16E,mla_a8w8_qh16_qseqlen2_gqaratio16.co
fp8,fp8,16,0,4,0,0,0,0,_ZN5aiter33mla_a8w8_qh64_qseqlen4_gqaratio16E,mla_a8w8_qh64_qseqlen4_gqaratio16.co
fp8,fp8,32,1,4,0,0,0,0,_ZN5aiter36mla_a8w8_qh32_qseqlen4_gqaratio32_psE,mla_a8w8_qh32_qseqlen4_gqaratio32_ps.co
fp8,fp8,32,1,4,0,0,1,0,_ZN5aiter40mla_a8w8_qh32_qseqlen4_gqaratio32_lse_psE,mla_a8w8_qh32_qseqlen4_gqaratio32_lse_ps.co
fp8,fp8,32,1,1,0,0,0,0,_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE,mla_a8w8_qh32_qseqlen1_gqaratio32_ps.co
fp8,fp8,32,1,1,0,0,1,0,_ZN5aiter40mla_a8w8_qh32_qseqlen1_gqaratio32_lse_psE,mla_a8w8_qh32_qseqlen1_gqaratio32_lse_ps.co
fp8,fp8,32,1,2,0,0,0,0,_ZN5aiter39mla_a8w8_qh32_qseqlen2_gqaratio32_v3_psE,mla_a8w8_qh32_qseqlen2_gqaratio32_v3_ps.co
fp8,fp8,32,1,2,0,0,1,0,_ZN5aiter43mla_a8w8_qh32_qseqlen2_gqaratio32_lse_v3_psE,mla_a8w8_qh32_qseqlen2_gqaratio32_lse_v3_ps.co
fp8,fp8,128,0,0,0,0,0,0,_ZN5aiter31mla_a8w8_qh128_m32x4_n16x2_msk1E,mla_a8w8_qh128_m32x4_n16x2_msk1.co
bf16,bf16,16,0,0,1,0,0,0,_ZN5aiter39mla_pfl_bf16_a16w16_causal_subQ16_mqa16E,mla_pfl_bf16_a16w16_causal_subQ16_mqa16.co
bf16,bf16,128,0,0,1,0,0,0,_ZN5aiter41mla_pfl_bf16_a16w16_causal_subQ128_mqa128E,mla_pfl_bf16_a16w16_causal_subQ128_mqa128.co
fp8,fp8,1,1,0,1,1,0,0,_ZN5aiter40mla_pfl_qh192_vh128_m32x8_n128x1_causal1E,mla_pfl_qh192_vh128_m32x8_n128x1_causal1.co
fp8,fp8,1,1,0,1,0,0,0,_ZN5aiter40mla_pfl_qh192_vh128_m32x8_n128x1_causal0E,mla_pfl_qh192_vh128_m32x8_n128x1_causal0.co
bf16,bf16,32,0,0,0,0,0,0,_ZN5aiter39mla_a16w16_qh16_m16x4_n32x1_coex0_mask1E,MLA_A16W16_1TG_4W_16mx4_32nx1_Coex0_Msk1_QH16.co
bf16,bf16,64,0,0,0,0,0,0,_ZN5aiter39mla_a16w16_qh16_m64x1_n16x1_coex0_mask1E,MLA_A16W16_1TG_4W_64mx1_16nx1_Coex0_Msk1_QH16.co
bf16,bf16,64,0,1,0,0,0,0,_ZN5aiter38mla_a16w16_qh64_qseqlen1_gqaratio64_v3E,mla_a16w16_qh64_qseqlen1_gqaratio64_v3.co
bf16,bf16,8,0,1,0,0,0,0,_ZN5aiter36mla_a16w16_qh8_qseqlen1_gqaratio8_v3E,mla_a16w16_qh8_qseqlen1_gqaratio8_v3.co
